resource,activity,timestamp,role,travel_permit_number,Task,OrganizationalEntity,RequestedAmount,Permit_TaskNumber,Permit_BudgetNumber,Permit_ProjectNumber,project,case,OrganizationalEntity.1,RequestedBudget,Permitid,ActivityNumber
SYSTEM,Request Payment,2018/2/28 17:06:46.00,UNDEFINED,travel permit number 31979,UNKNOWN,organizational unit 65469,605.4840489,UNKNOWN,budget 1027,UNKNOWN,project 503,request for payment 31982,organizational unit 65454,2061.222294,travel permit 31978,UNKNOWN
SYSTEM,Payment Handled,2018/3/5 16:30:58.00,UNDEFINED,travel permit number 31979,UNKNOWN,organizational unit 65469,605.4840489,UNKNOWN,budget 1027,UNKNOWN,project 503,request for payment 31982,organizational unit 65454,2061.222294,travel permit 31978,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/12/18 15:32:45.00,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65454,210.2167774,UNKNOWN,UNKNOWN,UNKNOWN,project 147620,request for payment 186366,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/12/18 15:33:23.00,ADMINISTRATION,UNKNOWN,UNKNOWN,organizational unit 65454,210.2167774,UNKNOWN,UNKNOWN,UNKNOWN,project 147620,request for payment 186366,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/12/20 9:09:03.00,SUPERVISOR,UNKNOWN,UNKNOWN,organizational unit 65454,210.2167774,UNKNOWN,UNKNOWN,UNKNOWN,project 147620,request for payment 186366,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Request Payment,2018/12/21 13:02:38.00,UNDEFINED,UNKNOWN,UNKNOWN,organizational unit 65454,210.2167774,UNKNOWN,UNKNOWN,UNKNOWN,project 147620,request for payment 186366,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Payment Handled,2019/1/3 10:59:16.00,UNDEFINED,UNKNOWN,UNKNOWN,organizational unit 65454,210.2167774,UNKNOWN,UNKNOWN,UNKNOWN,project 147620,request for payment 186366,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/1/29 17:06:04.00,EMPLOYEE,travel permit number 22777,task 22780,organizational unit 65465,981.9815735,task 427,budget 2365,project 9944,project 503,request for payment 22796,organizational unit 65464,13451.80238,travel permit 22776,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/1/29 17:06:25.00,ADMINISTRATION,travel permit number 22777,task 22780,organizational unit 65465,981.9815735,task 427,budget 2365,project 9944,project 503,request for payment 22796,organizational unit 65464,13451.80238,travel permit 22776,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/1/30 14:54:17.00,SUPERVISOR,travel permit number 22777,task 22780,organizational unit 65465,981.9815735,task 427,budget 2365,project 9944,project 503,request for payment 22796,organizational unit 65464,13451.80238,travel permit 22776,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/2/1 8:09:18.00,DIRECTOR,travel permit number 22777,task 22780,organizational unit 65465,981.9815735,task 427,budget 2365,project 9944,project 503,request for payment 22796,organizational unit 65464,13451.80238,travel permit 22776,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/2/26 17:53:52.00,EMPLOYEE,travel permit number 22777,task 22780,organizational unit 65465,981.9815735,task 427,budget 2365,project 9944,project 503,request for payment 22796,organizational unit 65464,13451.80238,travel permit 22776,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/2/26 17:54:57.00,ADMINISTRATION,travel permit number 22777,task 22780,organizational unit 65465,981.9815735,task 427,budget 2365,project 9944,project 503,request for payment 22796,organizational unit 65464,13451.80238,travel permit 22776,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/2/27 15:37:47.00,SUPERVISOR,travel permit number 22777,task 22780,organizational unit 65465,981.9815735,task 427,budget 2365,project 9944,project 503,request for payment 22796,organizational unit 65464,13451.80238,travel permit 22776,UNKNOWN
SYSTEM,Request Payment,2018/2/28 11:58:23.00,UNDEFINED,travel permit number 22777,task 22780,organizational unit 65465,981.9815735,task 427,budget 2365,project 9944,project 503,request for payment 22796,organizational unit 65464,13451.80238,travel permit 22776,UNKNOWN
SYSTEM,Payment Handled,2018/3/1 16:31:26.00,UNDEFINED,travel permit number 22777,task 22780,organizational unit 65465,981.9815735,task 427,budget 2365,project 9944,project 503,request for payment 22796,organizational unit 65464,13451.80238,travel permit 22776,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/4/12 9:00:44.00,EMPLOYEE,travel permit number 33320,task 33323,organizational unit 65461,16.80982595,task 427,budget 1969,project 5711,project 503,request for payment 33328,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/4/12 9:03:53.00,ADMINISTRATION,travel permit number 33320,task 33323,organizational unit 65461,16.80982595,task 427,budget 1969,project 5711,project 503,request for payment 33328,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/4/19 7:52:36.00,SUPERVISOR,travel permit number 33320,task 33323,organizational unit 65461,16.80982595,task 427,budget 1969,project 5711,project 503,request for payment 33328,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/4/19 8:15:05.00,DIRECTOR,travel permit number 33320,task 33323,organizational unit 65461,16.80982595,task 427,budget 1969,project 5711,project 503,request for payment 33328,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/7/12 11:46:39.00,EMPLOYEE,travel permit number 33320,task 33323,organizational unit 65461,16.80982595,task 427,budget 1969,project 5711,project 503,request for payment 33328,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/7/12 11:49:38.00,ADMINISTRATION,travel permit number 33320,task 33323,organizational unit 65461,16.80982595,task 427,budget 1969,project 5711,project 503,request for payment 33328,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/7/19 11:28:28.00,SUPERVISOR,travel permit number 33320,task 33323,organizational unit 65461,16.80982595,task 427,budget 1969,project 5711,project 503,request for payment 33328,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
SYSTEM,Request Payment,2018/7/20 7:08:11.00,UNDEFINED,travel permit number 33320,task 33323,organizational unit 65461,16.80982595,task 427,budget 1969,project 5711,project 503,request for payment 33328,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
SYSTEM,Payment Handled,2018/7/23 15:31:11.00,UNDEFINED,travel permit number 33320,task 33323,organizational unit 65461,16.80982595,task 427,budget 1969,project 5711,project 503,request for payment 33328,organizational unit 65456,7634.462618,travel permit 33319,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/3/16 15:36:58.00,EMPLOYEE,travel permit number 44096,task 12326,organizational unit 65454,881.3580682,task 427,budget 10229,project 12323,project 503,request for payment 44097,organizational unit 65460,757.9679386,travel permit 44095,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/3/16 15:37:01.00,ADMINISTRATION,travel permit number 44096,task 12326,organizational unit 65454,881.3580682,task 427,budget 10229,project 12323,project 503,request for payment 44097,organizational unit 65460,757.9679386,travel permit 44095,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/3/20 7:23:34.00,SUPERVISOR,travel permit number 44096,task 12326,organizational unit 65454,881.3580682,task 427,budget 10229,project 12323,project 503,request for payment 44097,organizational unit 65460,757.9679386,travel permit 44095,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/3/26 9:08:03.00,EMPLOYEE,travel permit number 44096,task 12326,organizational unit 65454,881.3580682,task 427,budget 10229,project 12323,project 503,request for payment 44097,organizational unit 65460,757.9679386,travel permit 44095,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/3/26 12:20:09.00,ADMINISTRATION,travel permit number 44096,task 12326,organizational unit 65454,881.3580682,task 427,budget 10229,project 12323,project 503,request for payment 44097,organizational unit 65460,757.9679386,travel permit 44095,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/3/27 8:59:40.00,SUPERVISOR,travel permit number 44096,task 12326,organizational unit 65454,881.3580682,task 427,budget 10229,project 12323,project 503,request for payment 44097,organizational unit 65460,757.9679386,travel permit 44095,UNKNOWN
SYSTEM,Request Payment,2018/3/27 10:22:45.00,UNDEFINED,travel permit number 44096,task 12326,organizational unit 65454,881.3580682,task 427,budget 10229,project 12323,project 503,request for payment 44097,organizational unit 65460,757.9679386,travel permit 44095,UNKNOWN
SYSTEM,Payment Handled,2018/3/29 15:31:11.00,UNDEFINED,travel permit number 44096,task 12326,organizational unit 65454,881.3580682,task 427,budget 10229,project 12323,project 503,request for payment 44097,organizational unit 65460,757.9679386,travel permit 44095,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/6/19 13:16:43.00,EMPLOYEE,travel permit number 29636,UNKNOWN,organizational unit 65461,776.6064049,UNKNOWN,budget 565,UNKNOWN,project 503,request for payment 29637,organizational unit 65456,866.3965977,travel permit 29635,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/6/19 13:16:45.00,ADMINISTRATION,travel permit number 29636,UNKNOWN,organizational unit 65461,776.6064049,UNKNOWN,budget 565,UNKNOWN,project 503,request for payment 29637,organizational unit 65456,866.3965977,travel permit 29635,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/6/28 13:08:14.00,SUPERVISOR,travel permit number 29636,UNKNOWN,organizational unit 65461,776.6064049,UNKNOWN,budget 565,UNKNOWN,project 503,request for payment 29637,organizational unit 65456,866.3965977,travel permit 29635,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/7/3 9:20:55.00,EMPLOYEE,travel permit number 29636,UNKNOWN,organizational unit 65461,776.6064049,UNKNOWN,budget 565,UNKNOWN,project 503,request for payment 29637,organizational unit 65456,866.3965977,travel permit 29635,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/7/3 9:21:01.00,ADMINISTRATION,travel permit number 29636,UNKNOWN,organizational unit 65461,776.6064049,UNKNOWN,budget 565,UNKNOWN,project 503,request for payment 29637,organizational unit 65456,866.3965977,travel permit 29635,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/7/11 14:05:54.00,SUPERVISOR,travel permit number 29636,UNKNOWN,organizational unit 65461,776.6064049,UNKNOWN,budget 565,UNKNOWN,project 503,request for payment 29637,organizational unit 65456,866.3965977,travel permit 29635,UNKNOWN
SYSTEM,Request Payment,2018/7/12 6:57:45.00,UNDEFINED,travel permit number 29636,UNKNOWN,organizational unit 65461,776.6064049,UNKNOWN,budget 565,UNKNOWN,project 503,request for payment 29637,organizational unit 65456,866.3965977,travel permit 29635,UNKNOWN
SYSTEM,Payment Handled,2018/7/16 15:31:26.00,UNDEFINED,travel permit number 29636,UNKNOWN,organizational unit 65461,776.6064049,UNKNOWN,budget 565,UNKNOWN,project 503,request for payment 29637,organizational unit 65456,866.3965977,travel permit 29635,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/8/23 10:58:25.00,EMPLOYEE,travel permit number 67473,task 10542,organizational unit 65456,2705.354493,task 427,budget 1622,project 1623,project 503,request for payment 67476,organizational unit 65457,3559.676964,travel permit 67472,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/8/23 10:58:28.00,ADMINISTRATION,travel permit number 67473,task 10542,organizational unit 65456,2705.354493,task 427,budget 1622,project 1623,project 503,request for payment 67476,organizational unit 65457,3559.676964,travel permit 67472,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/8/23 12:05:17.00,EMPLOYEE,travel permit number 67473,task 10542,organizational unit 65456,2705.354493,task 427,budget 1622,project 1623,project 503,request for payment 67476,organizational unit 65457,3559.676964,travel permit 67472,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/8/23 12:05:33.00,ADMINISTRATION,travel permit number 67473,task 10542,organizational unit 65456,2705.354493,task 427,budget 1622,project 1623,project 503,request for payment 67476,organizational unit 65457,3559.676964,travel permit 67472,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/8/27 8:54:13.00,BUDGET OWNER,travel permit number 67473,task 10542,organizational unit 65456,2705.354493,task 427,budget 1622,project 1623,project 503,request for payment 67476,organizational unit 65457,3559.676964,travel permit 67472,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/8/27 12:52:34.00,BUDGET OWNER,travel permit number 67473,task 10542,organizational unit 65456,2705.354493,task 427,budget 1622,project 1623,project 503,request for payment 67476,organizational unit 65457,3559.676964,travel permit 67472,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/8/28 5:59:21.00,SUPERVISOR,travel permit number 67473,task 10542,organizational unit 65456,2705.354493,task 427,budget 1622,project 1623,project 503,request for payment 67476,organizational unit 65457,3559.676964,travel permit 67472,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/8/28 5:59:21.00,SUPERVISOR,travel permit number 67473,task 10542,organizational unit 65456,2705.354493,task 427,budget 1622,project 1623,project 503,request for payment 67476,organizational unit 65457,3559.676964,travel permit 67472,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/8/28 15:23:04.00,DIRECTOR,travel permit number 67473,task 10542,organizational unit 65456,2705.354493,task 427,budget 1622,project 1623,project 503,request for payment 67476,organizational unit 65457,3559.676964,travel permit 67472,UNKNOWN
SYSTEM,Request Payment,2018/8/30 11:30:33.00,UNDEFINED,travel permit number 67473,task 10542,organizational unit 65456,2705.354493,task 427,budget 1622,project 1623,project 503,request for payment 67476,organizational unit 65457,3559.676964,travel permit 67472,UNKNOWN
SYSTEM,Payment Handled,2018/9/3 15:31:14.00,UNDEFINED,travel permit number 67473,task 10542,organizational unit 65456,2705.354493,task 427,budget 1622,project 1623,project 503,request for payment 67476,organizational unit 65457,3559.676964,travel permit 67472,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/8/2 10:41:28.00,EMPLOYEE,travel permit number 59914,UNKNOWN,organizational unit 65454,38.89050647,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 59915,organizational unit 65460,945.9852925,travel permit 59913,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/8/2 10:41:31.00,ADMINISTRATION,travel permit number 59914,UNKNOWN,organizational unit 65454,38.89050647,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 59915,organizational unit 65460,945.9852925,travel permit 59913,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/8/6 8:10:38.00,SUPERVISOR,travel permit number 59914,UNKNOWN,organizational unit 65454,38.89050647,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 59915,organizational unit 65460,945.9852925,travel permit 59913,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/8/8 19:37:18.00,EMPLOYEE,travel permit number 59914,UNKNOWN,organizational unit 65454,38.89050647,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 59915,organizational unit 65460,945.9852925,travel permit 59913,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/8/8 19:37:30.00,ADMINISTRATION,travel permit number 59914,UNKNOWN,organizational unit 65454,38.89050647,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 59915,organizational unit 65460,945.9852925,travel permit 59913,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/8/13 9:07:14.00,SUPERVISOR,travel permit number 59914,UNKNOWN,organizational unit 65454,38.89050647,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 59915,organizational unit 65460,945.9852925,travel permit 59913,UNKNOWN
SYSTEM,Request Payment,2018/8/15 6:43:16.00,UNDEFINED,travel permit number 59914,UNKNOWN,organizational unit 65454,38.89050647,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 59915,organizational unit 65460,945.9852925,travel permit 59913,UNKNOWN
SYSTEM,Payment Handled,2018/8/20 15:31:18.00,UNDEFINED,travel permit number 59914,UNKNOWN,organizational unit 65454,38.89050647,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 59915,organizational unit 65460,945.9852925,travel permit 59913,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/8/2 12:13:10.00,EMPLOYEE,travel permit number 63532,task 1055,organizational unit 65454,535.0305169,task 427,budget 994,project 1052,project 503,request for payment 63535,organizational unit 65460,3056.18322,travel permit 63531,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/8/2 12:13:12.00,ADMINISTRATION,travel permit number 63532,task 1055,organizational unit 65454,535.0305169,task 427,budget 994,project 1052,project 503,request for payment 63535,organizational unit 65460,3056.18322,travel permit 63531,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/8/6 8:10:43.00,SUPERVISOR,travel permit number 63532,task 1055,organizational unit 65454,535.0305169,task 427,budget 994,project 1052,project 503,request for payment 63535,organizational unit 65460,3056.18322,travel permit 63531,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/9/24 19:12:33.00,EMPLOYEE,travel permit number 63532,task 1055,organizational unit 65454,535.0305169,task 427,budget 994,project 1052,project 503,request for payment 63535,organizational unit 65460,3056.18322,travel permit 63531,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/9/24 19:12:42.00,ADMINISTRATION,travel permit number 63532,task 1055,organizational unit 65454,535.0305169,task 427,budget 994,project 1052,project 503,request for payment 63535,organizational unit 65460,3056.18322,travel permit 63531,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/9/27 8:58:35.00,SUPERVISOR,travel permit number 63532,task 1055,organizational unit 65454,535.0305169,task 427,budget 994,project 1052,project 503,request for payment 63535,organizational unit 65460,3056.18322,travel permit 63531,UNKNOWN
SYSTEM,Request Payment,2018/9/27 10:40:40.00,UNDEFINED,travel permit number 63532,task 1055,organizational unit 65454,535.0305169,task 427,budget 994,project 1052,project 503,request for payment 63535,organizational unit 65460,3056.18322,travel permit 63531,UNKNOWN
SYSTEM,Payment Handled,2018/10/1 15:31:15.00,UNDEFINED,travel permit number 63532,task 1055,organizational unit 65454,535.0305169,task 427,budget 994,project 1052,project 503,request for payment 63535,organizational unit 65460,3056.18322,travel permit 63531,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/4/3 19:03:59.00,EMPLOYEE,travel permit number 46496,task 6652,organizational unit 65454,501.9480605,task 427,budget 499,project 6649,project 503,request for payment 46497,organizational unit 65460,2487.628053,travel permit 46495,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/4/3 19:04:03.00,ADMINISTRATION,travel permit number 46496,task 6652,organizational unit 65454,501.9480605,task 427,budget 499,project 6649,project 503,request for payment 46497,organizational unit 65460,2487.628053,travel permit 46495,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/4/5 7:10:20.00,SUPERVISOR,travel permit number 46496,task 6652,organizational unit 65454,501.9480605,task 427,budget 499,project 6649,project 503,request for payment 46497,organizational unit 65460,2487.628053,travel permit 46495,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/4/5 10:21:24.00,EMPLOYEE,travel permit number 46496,task 6652,organizational unit 65454,501.9480605,task 427,budget 499,project 6649,project 503,request for payment 46497,organizational unit 65460,2487.628053,travel permit 46495,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/4/5 10:22:07.00,ADMINISTRATION,travel permit number 46496,task 6652,organizational unit 65454,501.9480605,task 427,budget 499,project 6649,project 503,request for payment 46497,organizational unit 65460,2487.628053,travel permit 46495,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/4/6 14:51:51.00,SUPERVISOR,travel permit number 46496,task 6652,organizational unit 65454,501.9480605,task 427,budget 499,project 6649,project 503,request for payment 46497,organizational unit 65460,2487.628053,travel permit 46495,UNKNOWN
SYSTEM,Request Payment,2018/4/9 9:55:29.00,UNDEFINED,travel permit number 46496,task 6652,organizational unit 65454,501.9480605,task 427,budget 499,project 6649,project 503,request for payment 46497,organizational unit 65460,2487.628053,travel permit 46495,UNKNOWN
SYSTEM,Payment Handled,2018/4/12 15:31:12.00,UNDEFINED,travel permit number 46496,task 6652,organizational unit 65454,501.9480605,task 427,budget 499,project 6649,project 503,request for payment 46497,organizational unit 65460,2487.628053,travel permit 46495,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/1/29 13:00:21.00,EMPLOYEE,travel permit number 42085,task 27581,organizational unit 65462,143.5031792,task 427,budget 761,project 13096,project 503,request for payment 42088,organizational unit 65459,2857.548772,travel permit 42084,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/1/29 13:00:32.00,ADMINISTRATION,travel permit number 42085,task 27581,organizational unit 65462,143.5031792,task 427,budget 761,project 13096,project 503,request for payment 42088,organizational unit 65459,2857.548772,travel permit 42084,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/1/29 13:13:13.00,EMPLOYEE,travel permit number 42085,task 27581,organizational unit 65462,143.5031792,task 427,budget 761,project 13096,project 503,request for payment 42088,organizational unit 65459,2857.548772,travel permit 42084,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/1/29 13:14:35.00,ADMINISTRATION,travel permit number 42085,task 27581,organizational unit 65462,143.5031792,task 427,budget 761,project 13096,project 503,request for payment 42088,organizational unit 65459,2857.548772,travel permit 42084,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/1/31 14:22:49.00,BUDGET OWNER,travel permit number 42085,task 27581,organizational unit 65462,143.5031792,task 427,budget 761,project 13096,project 503,request for payment 42088,organizational unit 65459,2857.548772,travel permit 42084,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/1/31 15:04:36.00,BUDGET OWNER,travel permit number 42085,task 27581,organizational unit 65462,143.5031792,task 427,budget 761,project 13096,project 503,request for payment 42088,organizational unit 65459,2857.548772,travel permit 42084,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/2/7 4:15:16.00,SUPERVISOR,travel permit number 42085,task 27581,organizational unit 65462,143.5031792,task 427,budget 761,project 13096,project 503,request for payment 42088,organizational unit 65459,2857.548772,travel permit 42084,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/2/7 4:15:16.00,SUPERVISOR,travel permit number 42085,task 27581,organizational unit 65462,143.5031792,task 427,budget 761,project 13096,project 503,request for payment 42088,organizational unit 65459,2857.548772,travel permit 42084,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/2/7 14:00:02.00,DIRECTOR,travel permit number 42085,task 27581,organizational unit 65462,143.5031792,task 427,budget 761,project 13096,project 503,request for payment 42088,organizational unit 65459,2857.548772,travel permit 42084,UNKNOWN
SYSTEM,Request Payment,2018/2/7 14:00:59.00,UNDEFINED,travel permit number 42085,task 27581,organizational unit 65462,143.5031792,task 427,budget 761,project 13096,project 503,request for payment 42088,organizational unit 65459,2857.548772,travel permit 42084,UNKNOWN
SYSTEM,Payment Handled,2018/2/8 16:31:11.00,UNDEFINED,travel permit number 42085,task 27581,organizational unit 65462,143.5031792,task 427,budget 761,project 13096,project 503,request for payment 42088,organizational unit 65459,2857.548772,travel permit 42084,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/9/7 12:30:22.00,EMPLOYEE,travel permit number 71575,task 25860,organizational unit 65463,129.2564085,task 427,budget 19492,project 19841,project 503,request for payment 71576,organizational unit 65455,777.4821561,travel permit 71574,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/9/7 12:30:32.00,ADMINISTRATION,travel permit number 71575,task 25860,organizational unit 65463,129.2564085,task 427,budget 19492,project 19841,project 503,request for payment 71576,organizational unit 65455,777.4821561,travel permit 71574,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/9/7 12:42:34.00,EMPLOYEE,travel permit number 71575,task 25860,organizational unit 65463,129.2564085,task 427,budget 19492,project 19841,project 503,request for payment 71576,organizational unit 65455,777.4821561,travel permit 71574,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/9/7 12:43:20.00,ADMINISTRATION,travel permit number 71575,task 25860,organizational unit 65463,129.2564085,task 427,budget 19492,project 19841,project 503,request for payment 71576,organizational unit 65455,777.4821561,travel permit 71574,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/9/10 11:37:10.00,SUPERVISOR,travel permit number 71575,task 25860,organizational unit 65463,129.2564085,task 427,budget 19492,project 19841,project 503,request for payment 71576,organizational unit 65455,777.4821561,travel permit 71574,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/9/10 11:50:20.00,SUPERVISOR,travel permit number 71575,task 25860,organizational unit 65463,129.2564085,task 427,budget 19492,project 19841,project 503,request for payment 71576,organizational unit 65455,777.4821561,travel permit 71574,UNKNOWN
SYSTEM,Request Payment,2018/9/11 9:29:08.00,UNDEFINED,travel permit number 71575,task 25860,organizational unit 65463,129.2564085,task 427,budget 19492,project 19841,project 503,request for payment 71576,organizational unit 65455,777.4821561,travel permit 71574,UNKNOWN
SYSTEM,Payment Handled,2018/9/13 15:31:15.00,UNDEFINED,travel permit number 71575,task 25860,organizational unit 65463,129.2564085,task 427,budget 19492,project 19841,project 503,request for payment 71576,organizational unit 65455,777.4821561,travel permit 71574,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/9/6 7:53:00.00,EMPLOYEE,travel permit number 10317,task 10321,organizational unit 65461,974.7403835,task 427,budget 456,project 10318,project 503,request for payment 10319,organizational unit 65456,2404.280654,travel permit 10316,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/9/6 7:53:09.00,ADMINISTRATION,travel permit number 10317,task 10321,organizational unit 65461,974.7403835,task 427,budget 456,project 10318,project 503,request for payment 10319,organizational unit 65456,2404.280654,travel permit 10316,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/9/11 9:25:17.00,SUPERVISOR,travel permit number 10317,task 10321,organizational unit 65461,974.7403835,task 427,budget 456,project 10318,project 503,request for payment 10319,organizational unit 65456,2404.280654,travel permit 10316,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/9/17 7:46:50.00,EMPLOYEE,travel permit number 10317,task 10321,organizational unit 65461,974.7403835,task 427,budget 456,project 10318,project 503,request for payment 10319,organizational unit 65456,2404.280654,travel permit 10316,UNKNOWN
