resource,activity,timestamp,role,travel_permit_number,Task,OrganizationalEntity,RequestedAmount,Permit_TaskNumber,Permit_BudgetNumber,Permit_ProjectNumber,project,case,OrganizationalEntity.1,RequestedBudget,Permitid,ActivityNumber
SYSTEM,Payment Handled,2018/11/8 16:31:15.00,UNDEFINED,travel permit number 70075,task 13603,organizational unit 65463,350.9779445,UNKNOWN,budget 4164,UNKNOWN,project 503,request for payment 70076,organizational unit 65455,971.9389233,travel permit 70074,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/10/29 8:06:23.00,EMPLOYEE,travel permit number 29235,task 11657,organizational unit 65454,648.6230901,task 427,budget 1812,project 11654,project 503,request for payment 29236,organizational unit 65460,626.0840638,travel permit 29234,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/10/29 8:06:30.00,ADMINISTRATION,travel permit number 29235,task 11657,organizational unit 65454,648.6230901,task 427,budget 1812,project 11654,project 503,request for payment 29236,organizational unit 65460,626.0840638,travel permit 29234,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/10/29 9:59:44.00,SUPERVISOR,travel permit number 29235,task 11657,organizational unit 65454,648.6230901,task 427,budget 1812,project 11654,project 503,request for payment 29236,organizational unit 65460,626.0840638,travel permit 29234,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/10/30 8:43:12.00,EMPLOYEE,travel permit number 29235,task 11657,organizational unit 65454,648.6230901,task 427,budget 1812,project 11654,project 503,request for payment 29236,organizational unit 65460,626.0840638,travel permit 29234,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/10/30 8:46:07.00,ADMINISTRATION,travel permit number 29235,task 11657,organizational unit 65454,648.6230901,task 427,budget 1812,project 11654,project 503,request for payment 29236,organizational unit 65460,626.0840638,travel permit 29234,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/10/30 8:55:45.00,SUPERVISOR,travel permit number 29235,task 11657,organizational unit 65454,648.6230901,task 427,budget 1812,project 11654,project 503,request for payment 29236,organizational unit 65460,626.0840638,travel permit 29234,UNKNOWN
SYSTEM,Request Payment,2018/11/1 11:31:55.00,UNDEFINED,travel permit number 29235,task 11657,organizational unit 65454,648.6230901,task 427,budget 1812,project 11654,project 503,request for payment 29236,organizational unit 65460,626.0840638,travel permit 29234,UNKNOWN
SYSTEM,Payment Handled,2018/11/5 16:31:19.00,UNDEFINED,travel permit number 29235,task 11657,organizational unit 65454,648.6230901,task 427,budget 1812,project 11654,project 503,request for payment 29236,organizational unit 65460,626.0840638,travel permit 29234,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/9/24 10:49:02.00,EMPLOYEE,travel permit number 29542,UNKNOWN,organizational unit 65462,52.73897802,UNKNOWN,budget 29543,UNKNOWN,project 503,request for payment 29544,organizational unit 65459,72.16912781,travel permit 29541,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/9/24 10:49:05.00,ADMINISTRATION,travel permit number 29542,UNKNOWN,organizational unit 65462,52.73897802,UNKNOWN,budget 29543,UNKNOWN,project 503,request for payment 29544,organizational unit 65459,72.16912781,travel permit 29541,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/9/24 13:41:00.00,EMPLOYEE,travel permit number 29542,UNKNOWN,organizational unit 65462,52.73897802,UNKNOWN,budget 29543,UNKNOWN,project 503,request for payment 29544,organizational unit 65459,72.16912781,travel permit 29541,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/9/24 13:45:05.00,ADMINISTRATION,travel permit number 29542,UNKNOWN,organizational unit 65462,52.73897802,UNKNOWN,budget 29543,UNKNOWN,project 503,request for payment 29544,organizational unit 65459,72.16912781,travel permit 29541,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/9/25 13:08:26.00,BUDGET OWNER,travel permit number 29542,UNKNOWN,organizational unit 65462,52.73897802,UNKNOWN,budget 29543,UNKNOWN,project 503,request for payment 29544,organizational unit 65459,72.16912781,travel permit 29541,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/9/26 12:14:45.00,BUDGET OWNER,travel permit number 29542,UNKNOWN,organizational unit 65462,52.73897802,UNKNOWN,budget 29543,UNKNOWN,project 503,request for payment 29544,organizational unit 65459,72.16912781,travel permit 29541,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/9/27 6:35:13.00,SUPERVISOR,travel permit number 29542,UNKNOWN,organizational unit 65462,52.73897802,UNKNOWN,budget 29543,UNKNOWN,project 503,request for payment 29544,organizational unit 65459,72.16912781,travel permit 29541,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/9/27 6:35:13.00,SUPERVISOR,travel permit number 29542,UNKNOWN,organizational unit 65462,52.73897802,UNKNOWN,budget 29543,UNKNOWN,project 503,request for payment 29544,organizational unit 65459,72.16912781,travel permit 29541,UNKNOWN
SYSTEM,Request Payment,2018/9/27 9:02:35.00,UNDEFINED,travel permit number 29542,UNKNOWN,organizational unit 65462,52.73897802,UNKNOWN,budget 29543,UNKNOWN,project 503,request for payment 29544,organizational unit 65459,72.16912781,travel permit 29541,UNKNOWN
SYSTEM,Payment Handled,2018/10/1 15:31:15.00,UNDEFINED,travel permit number 29542,UNKNOWN,organizational unit 65462,52.73897802,UNKNOWN,budget 29543,UNKNOWN,project 503,request for payment 29544,organizational unit 65459,72.16912781,travel permit 29541,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/2/26 11:03:49.00,EMPLOYEE,travel permit number 4970,task 4974,organizational unit 65461,765.0649368,task 427,budget 1313,project 4971,project 503,request for payment 4972,organizational unit 65456,1065.055596,travel permit 4969,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/2/26 16:08:10.00,ADMINISTRATION,travel permit number 4970,task 4974,organizational unit 65461,765.0649368,task 427,budget 1313,project 4971,project 503,request for payment 4972,organizational unit 65456,1065.055596,travel permit 4969,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/2/27 6:55:21.00,BUDGET OWNER,travel permit number 4970,task 4974,organizational unit 65461,765.0649368,task 427,budget 1313,project 4971,project 503,request for payment 4972,organizational unit 65456,1065.055596,travel permit 4969,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/3/1 9:18:55.00,SUPERVISOR,travel permit number 4970,task 4974,organizational unit 65461,765.0649368,task 427,budget 1313,project 4971,project 503,request for payment 4972,organizational unit 65456,1065.055596,travel permit 4969,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/3/5 8:44:51.00,EMPLOYEE,travel permit number 4970,task 4974,organizational unit 65461,765.0649368,task 427,budget 1313,project 4971,project 503,request for payment 4972,organizational unit 65456,1065.055596,travel permit 4969,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/3/5 8:51:43.00,ADMINISTRATION,travel permit number 4970,task 4974,organizational unit 65461,765.0649368,task 427,budget 1313,project 4971,project 503,request for payment 4972,organizational unit 65456,1065.055596,travel permit 4969,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/3/6 14:34:34.00,BUDGET OWNER,travel permit number 4970,task 4974,organizational unit 65461,765.0649368,task 427,budget 1313,project 4971,project 503,request for payment 4972,organizational unit 65456,1065.055596,travel permit 4969,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/3/8 10:00:51.00,SUPERVISOR,travel permit number 4970,task 4974,organizational unit 65461,765.0649368,task 427,budget 1313,project 4971,project 503,request for payment 4972,organizational unit 65456,1065.055596,travel permit 4969,UNKNOWN
SYSTEM,Request Payment,2018/3/9 7:50:53.00,UNDEFINED,travel permit number 4970,task 4974,organizational unit 65461,765.0649368,task 427,budget 1313,project 4971,project 503,request for payment 4972,organizational unit 65456,1065.055596,travel permit 4969,UNKNOWN
SYSTEM,Payment Handled,2018/3/12 16:31:16.00,UNDEFINED,travel permit number 4970,task 4974,organizational unit 65461,765.0649368,task 427,budget 1313,project 4971,project 503,request for payment 4972,organizational unit 65456,1065.055596,travel permit 4969,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/6/8 17:29:42.00,EMPLOYEE,travel permit number 28757,task 28761,organizational unit 65469,95.18216648,task 427,budget 1027,project 28758,project 503,request for payment 28768,organizational unit 65454,4316.400573,travel permit 28756,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/6/8 17:30:47.00,ADMINISTRATION,travel permit number 28757,task 28761,organizational unit 65469,95.18216648,task 427,budget 1027,project 28758,project 503,request for payment 28768,organizational unit 65454,4316.400573,travel permit 28756,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/6/11 7:27:36.00,BUDGET OWNER,travel permit number 28757,task 28761,organizational unit 65469,95.18216648,task 427,budget 1027,project 28758,project 503,request for payment 28768,organizational unit 65454,4316.400573,travel permit 28756,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/6/14 10:19:32.00,SUPERVISOR,travel permit number 28757,task 28761,organizational unit 65469,95.18216648,task 427,budget 1027,project 28758,project 503,request for payment 28768,organizational unit 65454,4316.400573,travel permit 28756,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/8/3 11:43:48.00,EMPLOYEE,travel permit number 28757,task 28761,organizational unit 65469,95.18216648,task 427,budget 1027,project 28758,project 503,request for payment 28768,organizational unit 65454,4316.400573,travel permit 28756,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/8/3 11:43:59.00,ADMINISTRATION,travel permit number 28757,task 28761,organizational unit 65469,95.18216648,task 427,budget 1027,project 28758,project 503,request for payment 28768,organizational unit 65454,4316.400573,travel permit 28756,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/8/6 9:46:04.00,BUDGET OWNER,travel permit number 28757,task 28761,organizational unit 65469,95.18216648,task 427,budget 1027,project 28758,project 503,request for payment 28768,organizational unit 65454,4316.400573,travel permit 28756,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/8/9 6:07:32.00,SUPERVISOR,travel permit number 28757,task 28761,organizational unit 65469,95.18216648,task 427,budget 1027,project 28758,project 503,request for payment 28768,organizational unit 65454,4316.400573,travel permit 28756,UNKNOWN
SYSTEM,Request Payment,2018/8/9 11:36:15.00,UNDEFINED,travel permit number 28757,task 28761,organizational unit 65469,95.18216648,task 427,budget 1027,project 28758,project 503,request for payment 28768,organizational unit 65454,4316.400573,travel permit 28756,UNKNOWN
SYSTEM,Payment Handled,2018/8/13 15:31:12.00,UNDEFINED,travel permit number 28757,task 28761,organizational unit 65469,95.18216648,task 427,budget 1027,project 28758,project 503,request for payment 28768,organizational unit 65454,4316.400573,travel permit 28756,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/4/11 8:33:09.00,EMPLOYEE,travel permit number 24629,task 24634,organizational unit 65475,1135.352714,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388,travel permit 24628,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/4/11 8:33:17.00,ADMINISTRATION,travel permit number 24629,task 24634,organizational unit 65475,1135.352714,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388,travel permit 24628,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/4/25 8:48:19.00,SUPERVISOR,travel permit number 24629,task 24634,organizational unit 65475,1135.352714,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388,travel permit 24628,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/5/15 8:56:04.00,EMPLOYEE,travel permit number 24629,task 24634,organizational unit 65475,1135.352714,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388,travel permit 24628,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/5/15 8:56:13.00,ADMINISTRATION,travel permit number 24629,task 24634,organizational unit 65475,1135.352714,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388,travel permit 24628,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/5/15 9:06:34.00,SUPERVISOR,travel permit number 24629,task 24634,organizational unit 65475,1135.352714,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388,travel permit 24628,UNKNOWN
SYSTEM,Request Payment,2018/5/16 8:53:13.00,UNDEFINED,travel permit number 24629,task 24634,organizational unit 65475,1135.352714,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388,travel permit 24628,UNKNOWN
SYSTEM,Payment Handled,2018/5/17 15:31:35.00,UNDEFINED,travel permit number 24629,task 24634,organizational unit 65475,1135.352714,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388,travel permit 24628,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/7/18 11:11:12.00,EMPLOYEE,travel permit number 62280,task 62283,organizational unit 65461,344.8015376,task 427,budget 1969,project 6751,project 503,request for payment 62281,organizational unit 65456,510.0614462,travel permit 62279,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/7/18 11:11:26.00,ADMINISTRATION,travel permit number 62280,task 62283,organizational unit 65461,344.8015376,task 427,budget 1969,project 6751,project 503,request for payment 62281,organizational unit 65456,510.0614462,travel permit 62279,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/7/19 8:19:33.00,BUDGET OWNER,travel permit number 62280,task 62283,organizational unit 65461,344.8015376,task 427,budget 1969,project 6751,project 503,request for payment 62281,organizational unit 65456,510.0614462,travel permit 62279,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/7/26 3:15:32.00,SUPERVISOR,travel permit number 62280,task 62283,organizational unit 65461,344.8015376,task 427,budget 1969,project 6751,project 503,request for payment 62281,organizational unit 65456,510.0614462,travel permit 62279,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/8/31 15:04:42.00,EMPLOYEE,travel permit number 62280,task 62283,organizational unit 65461,344.8015376,task 427,budget 1969,project 6751,project 503,request for payment 62281,organizational unit 65456,510.0614462,travel permit 62279,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by ADMINISTRATION,2018/8/31 15:06:07.00,ADMINISTRATION,travel permit number 62280,task 62283,organizational unit 65461,344.8015376,task 427,budget 1969,project 6751,project 503,request for payment 62281,organizational unit 65456,510.0614462,travel permit 62279,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by EMPLOYEE,2018/9/5 12:49:48.00,EMPLOYEE,travel permit number 62280,task 62283,organizational unit 65461,344.8015376,task 427,budget 1969,project 6751,project 503,request for payment 62281,organizational unit 65456,510.0614462,travel permit 62279,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/9/5 12:54:01.00,EMPLOYEE,travel permit number 62280,task 62283,organizational unit 65461,344.8015376,task 427,budget 1969,project 6751,project 503,request for payment 62281,organizational unit 65456,510.0614462,travel permit 62279,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/9/5 13:01:20.00,ADMINISTRATION,travel permit number 62280,task 62283,organizational unit 65461,344.8015376,task 427,budget 1969,project 6751,project 503,request for payment 62281,organizational unit 65456,510.0614462,travel permit 62279,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/9/6 6:19:26.00,BUDGET OWNER,travel permit number 62280,task 62283,organizational unit 65461,344.8015376,task 427,budget 1969,project 6751,project 503,request for payment 62281,organizational unit 65456,510.0614462,travel permit 62279,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/9/11 10:34:11.00,SUPERVISOR,travel permit number 62280,task 62283,organizational unit 65461,344.8015376,task 427,budget 1969,project 6751,project 503,request for payment 62281,organizational unit 65456,510.0614462,travel permit 62279,UNKNOWN
SYSTEM,Request Payment,2018/9/11 14:24:20.00,UNDEFINED,travel permit number 62280,task 62283,organizational unit 65461,344.8015376,task 427,budget 1969,project 6751,project 503,request for payment 62281,organizational unit 65456,510.0614462,travel permit 62279,UNKNOWN
SYSTEM,Payment Handled,2018/9/13 15:31:15.00,UNDEFINED,travel permit number 62280,task 62283,organizational unit 65461,344.8015376,task 427,budget 1969,project 6751,project 503,request for payment 62281,organizational unit 65456,510.0614462,travel permit 62279,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/10/8 18:38:02.00,EMPLOYEE,UNKNOWN,task 12206,organizational unit 65461,1275.651743,UNKNOWN,UNKNOWN,UNKNOWN,project 147556,request for payment 186494,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/10/8 18:38:04.00,ADMINISTRATION,UNKNOWN,task 12206,organizational unit 65461,1275.651743,UNKNOWN,UNKNOWN,UNKNOWN,project 147556,request for payment 186494,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/10/9 6:47:35.00,SUPERVISOR,UNKNOWN,task 12206,organizational unit 65461,1275.651743,UNKNOWN,UNKNOWN,UNKNOWN,project 147556,request for payment 186494,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Request Payment,2018/10/25 15:56:56.00,UNDEFINED,UNKNOWN,task 12206,organizational unit 65461,1275.651743,UNKNOWN,UNKNOWN,UNKNOWN,project 147556,request for payment 186494,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Payment Handled,2018/10/29 16:31:16.00,UNDEFINED,UNKNOWN,task 12206,organizational unit 65461,1275.651743,UNKNOWN,UNKNOWN,UNKNOWN,project 147556,request for payment 186494,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/1/24 9:30:03.00,EMPLOYEE,travel permit number 7612,UNKNOWN,organizational unit 65461,80.41099124,UNKNOWN,budget 522,UNKNOWN,project 503,request for payment 7619,organizational unit 65456,2970.676479,travel permit 7611,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/1/24 9:30:22.00,ADMINISTRATION,travel permit number 7612,UNKNOWN,organizational unit 65461,80.41099124,UNKNOWN,budget 522,UNKNOWN,project 503,request for payment 7619,organizational unit 65456,2970.676479,travel permit 7611,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/1/24 14:45:56.00,SUPERVISOR,travel permit number 7612,UNKNOWN,organizational unit 65461,80.41099124,UNKNOWN,budget 522,UNKNOWN,project 503,request for payment 7619,organizational unit 65456,2970.676479,travel permit 7611,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/1/29 13:41:49.00,DIRECTOR,travel permit number 7612,UNKNOWN,organizational unit 65461,80.41099124,UNKNOWN,budget 522,UNKNOWN,project 503,request for payment 7619,organizational unit 65456,2970.676479,travel permit 7611,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/2/2 13:57:59.00,EMPLOYEE,travel permit number 7612,UNKNOWN,organizational unit 65461,80.41099124,UNKNOWN,budget 522,UNKNOWN,project 503,request for payment 7619,organizational unit 65456,2970.676479,travel permit 7611,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/2/2 13:58:50.00,ADMINISTRATION,travel permit number 7612,UNKNOWN,organizational unit 65461,80.41099124,UNKNOWN,budget 522,UNKNOWN,project 503,request for payment 7619,organizational unit 65456,2970.676479,travel permit 7611,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/2/5 14:55:06.00,SUPERVISOR,travel permit number 7612,UNKNOWN,organizational unit 65461,80.41099124,UNKNOWN,budget 522,UNKNOWN,project 503,request for payment 7619,organizational unit 65456,2970.676479,travel permit 7611,UNKNOWN
SYSTEM,Request Payment,2018/2/7 13:38:59.00,UNDEFINED,travel permit number 7612,UNKNOWN,organizational unit 65461,80.41099124,UNKNOWN,budget 522,UNKNOWN,project 503,request for payment 7619,organizational unit 65456,2970.676479,travel permit 7611,UNKNOWN
SYSTEM,Payment Handled,2018/2/8 16:31:11.00,UNDEFINED,travel permit number 7612,UNKNOWN,organizational unit 65461,80.41099124,UNKNOWN,budget 522,UNKNOWN,project 503,request for payment 7619,organizational unit 65456,2970.676479,travel permit 7611,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/8/13 13:03:58.00,EMPLOYEE,travel permit number 60945,UNKNOWN,organizational unit 65469,471.8003154,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 60946,organizational unit 65454,728.669376,travel permit 60944,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/8/13 13:04:03.00,ADMINISTRATION,travel permit number 60945,UNKNOWN,organizational unit 65469,471.8003154,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 60946,organizational unit 65454,728.669376,travel permit 60944,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/8/14 6:01:23.00,SUPERVISOR,travel permit number 60945,UNKNOWN,organizational unit 65469,471.8003154,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 60946,organizational unit 65454,728.669376,travel permit 60944,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/8/27 9:18:07.00,EMPLOYEE,travel permit number 60945,UNKNOWN,organizational unit 65469,471.8003154,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 60946,organizational unit 65454,728.669376,travel permit 60944,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by ADMINISTRATION,2018/8/27 14:20:56.00,ADMINISTRATION,travel permit number 60945,UNKNOWN,organizational unit 65469,471.8003154,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 60946,organizational unit 65454,728.669376,travel permit 60944,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by EMPLOYEE,2018/8/28 6:59:55.00,EMPLOYEE,travel permit number 60945,UNKNOWN,organizational unit 65469,471.8003154,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 60946,organizational unit 65454,728.669376,travel permit 60944,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/8/28 11:15:29.00,EMPLOYEE,travel permit number 60945,UNKNOWN,organizational unit 65469,471.8003154,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 60946,organizational unit 65454,728.669376,travel permit 60944,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/8/28 11:15:32.00,ADMINISTRATION,travel permit number 60945,UNKNOWN,organizational unit 65469,471.8003154,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 60946,organizational unit 65454,728.669376,travel permit 60944,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/8/28 12:25:22.00,SUPERVISOR,travel permit number 60945,UNKNOWN,organizational unit 65469,471.8003154,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 60946,organizational unit 65454,728.669376,travel permit 60944,UNKNOWN
SYSTEM,Request Payment,2018/8/29 6:52:28.00,UNDEFINED,travel permit number 60945,UNKNOWN,organizational unit 65469,471.8003154,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 60946,organizational unit 65454,728.669376,travel permit 60944,UNKNOWN
SYSTEM,Payment Handled,2018/9/3 15:31:14.00,UNDEFINED,travel permit number 60945,UNKNOWN,organizational unit 65469,471.8003154,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 60946,organizational unit 65454,728.669376,travel permit 60944,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/11/3 11:34:33.00,EMPLOYEE,UNKNOWN,task 186506,organizational unit 65465,645.0769566,UNKNOWN,UNKNOWN,UNKNOWN,project 151278,request for payment 186504,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/11/3 11:34:43.00,ADMINISTRATION,UNKNOWN,task 186506,organizational unit 65465,645.0769566,UNKNOWN,UNKNOWN,UNKNOWN,project 151278,request for payment 186504,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/11/6 14:43:25.00,SUPERVISOR,UNKNOWN,task 186506,organizational unit 65465,645.0769566,UNKNOWN,UNKNOWN,UNKNOWN,project 151278,request for payment 186504,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Request Payment,2018/11/8 9:40:41.00,UNDEFINED,UNKNOWN,task 186506,organizational unit 65465,645.0769566,UNKNOWN,UNKNOWN,UNKNOWN,project 151278,request for payment 186504,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Payment Handled,2018/11/12 16:30:47.00,UNDEFINED,UNKNOWN,task 186506,organizational unit 65465,645.0769566,UNKNOWN,UNKNOWN,UNKNOWN,project 151278,request for payment 186504,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017/9/22 13:58:11.00,EMPLOYEE,travel permit number 85445,task 63556,organizational unit 65458,381.9407197,task 427,budget 1644,project 63553,project 503,request for payment 85446,organizational unit 65458,802.3964699,travel permit 85444,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017/9/22 13:58:16.00,SUPERVISOR,travel permit number 85445,task 63556,organizational unit 65458,381.9407197,task 427,budget 1644,project 63553,project 503,request for payment 85446,organizational unit 65458,802.3964699,travel permit 85444,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017/9/22 14:00:20.00,EMPLOYEE,travel permit number 85445,task 63556,organizational unit 65458,381.9407197,task 427,budget 1644,project 63553,project 503,request for payment 85446,organizational unit 65458,802.3964699,travel permit 85444,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017/9/22 14:00:56.00,SUPERVISOR,travel permit number 85445,task 63556,organizational unit 65458,381.9407197,task 427,budget 1644,project 63553,project 503,request for payment 85446,organizational unit 65458,802.3964699,travel permit 85444,UNKNOWN
SYSTEM,Request Payment,2017/9/26 11:13:09.00,UNDEFINED,travel permit number 85445,task 63556,organizational unit 65458,381.9407197,task 427,budget 1644,project 63553,project 503,request for payment 85446,organizational unit 65458,802.3964699,travel permit 85444,UNKNOWN
SYSTEM,Payment Handled,2017/9/28 15:31:06.00,UNDEFINED,travel permit number 85445,task 63556,organizational unit 65458,381.9407197,task 427,budget 1644,project 63553,project 503,request for payment 85446,organizational unit 65458,802.3964699,travel permit 85444,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017/7/5 11:38:32.00,EMPLOYEE,travel permit number 83843,task 15130,organizational unit 65458,1046.29929,task 427,budget 698,project 4957,project 503,request for payment 83844,organizational unit 65458,1351.913727,travel permit 83842,UNKNOWN
